Field,Option
ethnicity_race,Sardinian
ethnicity_race,Scandinavian
ethnicity_race,Scanner
ethnicity_race,Sephardic Jewish
ethnicity_race,Sicilian
ethnicity_race,Somali
ethnicity_race,South Asian
ethnicity_race,Southeast Asian
ethnicity_race,Swahili
ethnicity_race,Syrian
ethnicity_race,Tibetan
ethnicity_race,Tlingit
ethnicity_race,Tongan
ethnicity_race,Turkish
ethnicity_race,Uyghur
ethnicity_race,Venezuelan
ethnicity_race,Vietnamese
ethnicity_race,West African
ethnicity_race,White
ethnicity_race,Yoruba
species,Android
species,Chimera
species,Demon
species,Dragon
species,Elf
species,Gijinka
species,God
species,Golem
species,Human
species,Humanoid Machine
species,Mosaic
species,Numen
species,Saiyan
species,Shadow
species,Tabaxi
species,Werewolf
species,Yokai
species,Zora
eye_color,Ash
eye_color,Azure
eye_color,Black
eye_color,Black/Silver
eye_color,Blood
eye_color,Blue
eye_color,Brown
eye_color,Bubblegum
eye_color,Burnt
eye_color,Cardinal
eye_color,Carmine
eye_color,Coral
eye_color,Crimson
eye_color,Deep
eye_color,Espresso
eye_color,Gold
eye_color,Gray
eye_color,Green
eye_color,Green/Pink
eye_color,Ice
eye_color,Indigo
eye_color,Lemon
eye_color,Light
eye_color,Lilac
eye_color,Lime
eye_color,Multi
eye_color,Orange
eye_color,Pink
eye_color,Purple
eye_color,Red
eye_color,Yellow
hair_color,Ash
hair_color,Baby
hair_color,Beige
hair_color,Black
hair_color,Black/Silver
hair_color,Blonde
hair_color,Blue
hair_color,Brown
hair_color,Cobalt
hair_color,Cool
hair_color,Dark
hair_color,Dusty
hair_color,Dusty Rose
hair_color,Fern
hair_color,Gray
hair_color,Green
hair_color,Jade
hair_color,Medium
hair_color,Neutral
hair_color,Olive
hair_color,Orange
hair_color,Pink
hair_color,Pumpkin
hair_color,Purple
hair_color,Silver
hair_color,Soft
hair_color,Tawny
hair_color,White
skin_tone,Albino
skin_tone,Amber
skin_tone,Ashen
skin_tone,Black
skin_tone,Bronze
skin_tone,Brown
skin_tone,Caramel
skin_tone,Chestnut
skin_tone,Copper
skin_tone,Dark Brown
skin_tone,Deep Brown
skin_tone,Ebony
skin_tone,Fair
skin_tone,Golden
skin_tone,Honey
skin_tone,Ivory
skin_tone,Light
skin_tone,Light Beige
skin_tone,Mahogany
skin_tone,Medium
skin_tone,Olive
skin_tone,Pale
skin_tone,Porcelain
skin_tone,Rosy
skin_tone,Ruddy
skin_tone,Sable
skin_tone,Sienna
skin_tone,Tan
occupation,Abbot/abbess
occupation,Abecedarian
occupation,Abjurer
occupation,Acater
occupation,Accoucheur/obstetrician/midwife
occupation,Accountant
occupation,Accoutrements/coinsmith
occupation,Acolyte
occupation,Acrobat
occupation,Actor
occupation,Actuary
occupation,Acupuncturist
occupation,Administrator
occupation,Admiral
occupation,Adventurer
occupation,Advertising Executive
occupation,Aerialist/trapezist
occupation,Affeeror
occupation,Agister
occupation,Air Traffic Controller
occupation,Aircraft Engineer
occupation,Alchemist
occupation,Alderman
occupation,Alienist
occupation,Almoner
occupation,Anaesthetist
occupation,Animal Breeder
occupation,Animal Collector/monster Collector
occupation,Animal/monster Handler
occupation,Anthropologist
occupation,Antique Dealer
occupation,Apothecary
occupation,Appraiser
occupation,Apprentice
occupation,Arborist
occupation,Archaeologist
occupation,Archbishop
occupation,Architect
occupation,Archivist
occupation,Archmage
occupation,Armorer
occupation,Aromatherapist
occupation,Arranger
occupation,Art Critic
occupation,Art Dealer
occupation,Art Historian
occupation,Art Therapist
occupation,Artificer
occupation,Artist
occupation,Arts / Artists / Artistic
occupation,Assassin
occupation,Assay Master
occupation,Assayer
occupation,Assembly Line Worker
occupation,Assistant
occupation,Astrologer
occupation,Astronomer
occupation,Athlete
occupation,Au Pair
occupation,Auctioneer
occupation,Auditor
occupation,Author
occupation,Baggage Handler
occupation,Bagnio Keeper
occupation,Bailiff
occupation,Baker
occupation,Baler
occupation,Bandit
occupation,Bank Clerk
occupation,Bank Manager
occupation,Banker
occupation,Bar Staff
occupation,Barber
occupation,Bard
occupation,Barkeep
occupation,Barmaid/barboy
occupation,Baron/baroness
occupation,Barrister
occupation,Beekeeper
occupation,Beggar/pauper
occupation,Billboard Poster
occupation,Biochemist
occupation,Biologist
occupation,Bishop
occupation,Blacksmith
occupation,Bladesmith
occupation,Blood Hunter/monster Hunter
occupation,Bloodletter
occupation,Boat Builder
occupation,Boatman
occupation,Bodyguard
occupation,Bone Oracle
occupation,Bookbinder
occupation,Bookkeeper
occupation,Bookmaker
occupation,Bosun
occupation,Botanist
occupation,Bottler
occupation,Bouncer
occupation,Bounty Hunter
occupation,Bowyer
occupation,Breeder
occupation,Brewer
occupation,Brewery Worker
occupation,Brick Mason / Bricklayer / Mason
occupation,Bricklayer
occupation,Brickmaker
occupation,Broadcaster
occupation,Broom Maker
occupation,Brothel Keeper
occupation,Bug Catcher
occupation,Builder
occupation,Building Labourer
occupation,Burglar
occupation,Bus Driver
occupation,Business Consultant
occupation,Business Owner
occupation,Busker/street Musician
occupation,Butcher
occupation,Butler
occupation,Cabbie/wagoner
occupation,Cabin Boy/cabin Girl
occupation,Cabin Crew
occupation,Cabinet Maker
occupation,Calligraphist
occupation,Camera Operator
occupation,Candlemaker
occupation,Cantor
occupation,Captain
occupation,Car Dealer
occupation,Car Wash Attendant
occupation,Caravaneer
occupation,Cardinal
occupation,Care Assistant
occupation,Career Criminal
occupation,Careers Advisor
occupation,Caregiver
occupation,Caretaker
occupation,Carpenter
occupation,Carpet Fitter
occupation,Carter
occupation,Cartographer
occupation,Cartoonist
occupation,Cartwright
occupation,Cashier
occupation,Castellan
occupation,Casual Worker
occupation,Catering Staff
occupation,Cavalryman/cavalier
occupation,Celebrity
occupation,Cemetery Worker
occupation,Ceo
occupation,Chancellor
occupation,Chandler
occupation,Chaplain
occupation,Charcoal Maker
occupation,Charioteer
occupation,Charlatan/conman
occupation,Chatelaine/majordomo
occupation,Chauffeur
occupation,Chef
occupation,Chef Or Cook
occupation,Chemist
occupation,Chief
occupation,Childcare Worker
occupation,Childminder
occupation,Childrens Entertainer
occupation,Chimney Sweep
occupation,Chimney Sweeper
occupation,Chiropodist
occupation,Chiropractor
occupation,Choirmaster
occupation,Choreographer
occupation,Circus Worker
occupation,City Watch
occupation,Civil Servant
occupation,Clairvoyant
occupation,Cleaner
occupation,Clergyman
occupation,Cleric
occupation,Clerical Assistant
occupation,Clerk
occupation,Clockmaker
occupation,Clown
occupation,Coastguard
occupation,Cobbler
occupation,Cockfighter/game Fighter
occupation,Collector
occupation,Comedian
occupation,Commissar
occupation,Community Worker
occupation,Company Director
occupation,Composer
occupation,Composer Or Songwriter
occupation,Computer Analyst
occupation,Computer Engineer
occupation,Computer Programmer
occupation,Con Artist
occupation,Conductor
occupation,Confessor
occupation,Conjuror
occupation,Conservationist
occupation,Constable
occupation,Construction Worker
occupation,Contortionist
occupation,Cook
occupation,Cooper/hooper
occupation,Copyist
occupation,Coroner
occupation,Costume Designer
occupation,Costumer
occupation,Councillor
occupation,Counsellor
occupation,Count/earl/countess
occupation,Courier
occupation,Courtier
occupation,Cowherd
occupation,Craftsperson
occupation,Crane Driver
occupation,Crematorium Worker
occupation,Crime
occupation,Crime Boss
occupation,Crossing Sweeper
occupation,Croupier
occupation,Crown Prosecutor
occupation,Cult Leader
occupation,Cultist
occupation,Curator
occupation,Customs Officer
occupation,Cutler
occupation,Cutpurse
occupation,Dairy Boy/dairymaid
occupation,Dancer
occupation,Data Processor
occupation,Deacon
occupation,Dean
occupation,Debt Collector
occupation,Decorator
occupation,Deity
occupation,Delivery Driver
occupation,Dental Hygienist
occupation,Dental Nurse
occupation,Dentist
occupation,Deserter
occupation,Designer
occupation,Detective/investigator
occupation,Dietician
occupation,Diplomat
occupation,Director
occupation,Disc Jockey
occupation,Disgraced Noble
occupation,Diver
occupation,Diviner
occupation,Doctor
occupation,Doctor/physician
occupation,Domestic Staff
occupation,Doorman
occupation,Drakologist
occupation,Draper
occupation,Dressmaker
occupation,Driving Instructor
occupation,Drug Dealer
occupation,Drug Lord
occupation,Druid
occupation,Drummer/fifer
occupation,Drunkard
occupation,Duelist
occupation,Duke/duchess
occupation,Dungeon Delver
occupation,Dyer
occupation,Economist
occupation,Editor
occupation,Elder
occupation,Electrician
occupation,Elementalist
occupation,Embalmer
occupation,Embroiderer
occupation,Emperor/empress
occupation,Enchanter/enchantress
occupation,Engineer
occupation,Engraver
occupation,Entomologist
occupation,Entrepreneur
occupation,Equilibrist
occupation,Estate Agent
occupation,Events Organiser
occupation,Evoker
occupation,Executioner
occupation,Exile
occupation,Exorcist
occupation,Explorer
occupation,Exterminator
occupation,Extortioner
occupation,Factory Worker
occupation,Fairground Worker
occupation,Falconer
occupation,Farm Worker
occupation,Farmer
occupation,Farrier
occupation,Fashion Designer
occupation,Fbi Agent
occupation,Fence
occupation,Ferryman
occupation,Film Director
occupation,Financial Advisor
occupation,Firefighter
occupation,First Mate
occupation,Fisher
occupation,Fisherman/woman
occupation,Fitness Instructor
occupation,Fletcher
occupation,Florist
occupation,Flower Arranger
occupation,Flying Instructor
occupation,Folk Hero
occupation,Food & Drink Taster
occupation,Footballer
occupation,Forager
occupation,Forester
occupation,Forger
occupation,Forklift Driver
occupation,Foster Parent
occupation,Fowler
occupation,Fugitive
occupation,Fundraiser
occupation,Funeral Director
occupation,Furniture Artisan
occupation,Furrier
occupation,Gambler
occupation,Gamekeeper
occupation,Gang Leader
occupation,Gangster
occupation,Garden Designer
occupation,Gardener
occupation,Gardener/landscaper
occupation,Gas Fitter
occupation,Genealogist
occupation,General
occupation,General Contractor
occupation,Geneticist
occupation,Geologist
occupation,Gladiator
occupation,Glasspainter
occupation,Glassworker
occupation,Glazier
occupation,Glove Maker
occupation,God
occupation,Goldsmith/silversmith
occupation,Gong Farmer
occupation,Graphic Designer
occupation,Grave Digger
occupation,Grave Keeper
occupation,Grave Robber/tomb Raider
occupation,Gravedigger
occupation,Gremlin
occupation,Grim Reaper
occupation,Grocer
occupation,Groom
occupation,Groundskeeper
occupation,Groundsperson
occupation,Guard
occupation,Guard/sentinel
occupation,Guild Master
occupation,Hacker
occupation,Hair Stylist
occupation,Hairdresser
occupation,Handyman
occupation,Hatter/milliner
occupation,Head Hunter
occupation,Healer
occupation,Health Visitor
occupation,Healthcare Assistant
occupation,Hearth Witch/hearth Wizard
occupation,Heating Engineer
occupation,Helmsman
occupation,Herald
occupation,Herbalist
occupation,Herder
occupation,Heretic
occupation,Hermit
occupation,High Priest/pope
occupation,Highwayman
occupation,Historian
occupation,Home-worker
occupation,Homemaker
occupation,Homeopath
occupation,Horologist
occupation,Horse Trainer
occupation,Horticulturist
occupation,Housekeeper
occupation,Housewife/househusband
occupation,Hunter
occupation,Hypnotherapist
occupation,Illuminator
occupation,Illusionist
occupation,Illustrator
occupation,Immigration Officer
occupation,Independent Means
occupation,Innkeeper
occupation,Inquisitor
occupation,Inspection Officer
occupation,Instrument Maker
occupation,Insurance Consultant
occupation,Intelligence Officer
occupation,Interior Designer
occupation,Interpreter
occupation,Inventor
occupation,It Consultant
occupation,Jack Of All Trades
occupation,Jack The Ripper
occupation,Jailer
occupation,Jester
occupation,Jeweler
occupation,Jeweller
occupation,Jewellery Maker
occupation,Jockey
occupation,Journalist
occupation,Judge
occupation,Juggler
occupation,Kennel Worker
occupation,Kidnapper
occupation,King/queen
occupation,Kitchen Drudge
occupation,Knacker
occupation,Knight
occupation,Laboratory Technician
occupation,Labourer
occupation,Lady
occupation,Lamplighter
occupation,Land Surveyor
occupation,Landowner
occupation,Lap Dancer
occupation,Lapidary
occupation,Laundry Worker
occupation,Lawyer
occupation,Lawyer/advocate
occupation,Leaflet Distributor
occupation,Leatherworker
occupation,Lector
occupation,Lecturer
occupation,Legal Secretary
occupation,Librarian
occupation,Lieutenant
